stateName,crudeNumber,crudeRate,ageAdjustedRate,population,appliedFilters
Alabama,"10,939",13.7,13.3,79976290,"Start Year: 2001, End Year: 2017, Suicide All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Alaska,"2,647",22.3,22.2,11848797,"Start Year: 2001, End Year: 2017, Suicide All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Arizona,"18,035",17.0,16.9,105943656,"Start Year: 2001, End Year: 2017, Suicide All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Arkansas,"7,729",15.8,15.8,48788500,"Start Year: 2001, End Year: 2017, Suicide All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
California,"63,378",10.1,10.0,629704470,"Start Year: 2001, End Year: 2017, Suicide All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Colorado,"15,421",18.2,17.9,84552579,"Start Year: 2001, End Year: 2017, Suicide All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Connecticut,"5,584",9.3,8.8,60267221,"Start Year: 2001, End Year: 2017, Suicide All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Delaware,"1,791",11.9,11.6,15043796,"Start Year: 2001, End Year: 2017, Suicide All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
District of Columbia,637,6.1,5.8,10388290,"Start Year: 2001, End Year: 2017, Suicide All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Florida,"46,519",14.6,13.6,317658078,"Start Year: 2001, End Year: 2017, Suicide All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Georgia,"18,890",11.7,11.7,161253362,"Start Year: 2001, End Year: 2017, Suicide All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Hawaii,"2,726",11.9,11.5,22827034,"Start Year: 2001, End Year: 2017, Suicide All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Idaho,"4,692",18.1,18.5,25938664,"Start Year: 2001, End Year: 2017, Suicide All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Illinois,"20,569",9.5,9.3,216498318,"Start Year: 2001, End Year: 2017, Suicide All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Indiana,"14,557",13.3,13.3,109195622,"Start Year: 2001, End Year: 2017, Suicide All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Iowa,"6,437",12.5,12.4,51533216,"Start Year: 2001, End Year: 2017, Suicide All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Kansas,"6,918",14.4,14.4,47932167,"Start Year: 2001, End Year: 2017, Suicide All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Kentucky,"10,964",15.0,14.7,72900296,"Start Year: 2001, End Year: 2017, Suicide All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Louisiana,"9,609",12.4,12.4,77258370,"Start Year: 2001, End Year: 2017, Suicide All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Maine,"3,367",15.0,14.0,22466633,"Start Year: 2001, End Year: 2017, Suicide All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Maryland,"9,052",9.3,9.0,97635782,"Start Year: 2001, End Year: 2017, Suicide All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Massachusetts,"9,115",8.2,7.8,111647417,"Start Year: 2001, End Year: 2017, Suicide All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Michigan,"20,636",12.2,12.0,169315037,"Start Year: 2001, End Year: 2017, Suicide All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Minnesota,"10,418",11.6,11.4,89642796,"Start Year: 2001, End Year: 2017, Suicide All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Mississippi,"6,445",12.9,13.0,49974477,"Start Year: 2001, End Year: 2017, Suicide All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Missouri,"14,801",14.7,14.5,100577707,"Start Year: 2001, End Year: 2017, Suicide All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Montana,"3,763",22.6,22.1,16625284,"Start Year: 2001, End Year: 2017, Suicide All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Nebraska,"3,494",11.3,11.4,30855239,"Start Year: 2001, End Year: 2017, Suicide All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Nevada,"8,690",19.6,19.2,44371328,"Start Year: 2001, End Year: 2017, Suicide All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
New Hampshire,"3,171",14.2,13.5,22260974,"Start Year: 2001, End Year: 2017, Suicide All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
