stateName,crudeNumber,crudeRate,ageAdjustedRate,population,appliedFilters
Alabama,"3,524",73.7,73.0,4780135,"Start Year: 2010, End Year: 2010, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Alaska,594,83.6,90.0,710249,"Start Year: 2010, End Year: 2010, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Arizona,"4,705",73.6,73.2,6392309,"Start Year: 2010, End Year: 2010, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Arkansas,"2,197",75.3,74.8,2916031,"Start Year: 2010, End Year: 2010, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
California,"16,703",44.8,44.2,37254518,"Start Year: 2010, End Year: 2010, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Colorado,"3,243",64.5,65.4,5029325,"Start Year: 2010, End Year: 2010, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Connecticut,"1,867",52.2,47.8,3574114,"Start Year: 2010, End Year: 2010, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Delaware,540,60.1,59.3,897936,"Start Year: 2010, End Year: 2010, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
District of Columbia,394,65.5,63.3,601766,"Start Year: 2010, End Year: 2010, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Florida,"12,968",69.0,63.8,18804594,"Start Year: 2010, End Year: 2010, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Georgia,"5,625",58.1,60.0,9688690,"Start Year: 2010, End Year: 2010, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Hawaii,720,52.9,50.3,1360301,"Start Year: 2010, End Year: 2010, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Idaho,"1,001",63.9,64.7,1567650,"Start Year: 2010, End Year: 2010, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Illinois,"6,109",47.6,46.5,12831565,"Start Year: 2010, End Year: 2010, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Indiana,"3,877",59.8,59.0,6484125,"Start Year: 2010, End Year: 2010, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Iowa,"1,732",56.8,52.1,3046869,"Start Year: 2010, End Year: 2010, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Kansas,"1,891",66.3,63.9,2853130,"Start Year: 2010, End Year: 2010, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Kentucky,"3,567",82.2,81.7,4339340,"Start Year: 2010, End Year: 2010, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
