sex,agegrp,crudeNumber,crudeRate,ageAdjustedRate,appliedFilters
Males,0 to 4,"4,144",20.9,20.9,"Start Year: 2001, End Year: 2002, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Females,0 to 4,"2,891",15.3,15.3,"Start Year: 2001, End Year: 2002, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Males,5 to 9,"1,676",8.2,8.2,"Start Year: 2001, End Year: 2002, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Females,5 to 9,"1,114",5.7,5.7,"Start Year: 2001, End Year: 2002, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Males,10 to 14,"2,722",12.6,12.6,"Start Year: 2001, End Year: 2002, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Females,10 to 14,"1,389",6.7,6.7,"Start Year: 2001, End Year: 2002, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Males,15 to 19,"15,822",74.7,74.7,"Start Year: 2001, End Year: 2002, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Females,15 to 19,"5,201",26.1,26.1,"Start Year: 2001, End Year: 2002, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Males,20 to 24,"23,150",113.4,113.4,"Start Year: 2001, End Year: 2002, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Females,20 to 24,"5,226",26.7,26.7,"Start Year: 2001, End Year: 2002, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Males,25 to 29,"18,404",97.1,97.1,"Start Year: 2001, End Year: 2002, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
