year,geo_name,geo,total_reimbursements_b
2011,"Anderson County","05000US48001",10318.0
2010,"Anderson County","05000US48001",9894.0
2013,"Anderson County","05000US48001",11024.0
2014,"Anderson County","05000US48001",11405.0
2012,"Anderson County","05000US48001",10784.0
2010,"Andrews County","05000US48003",9366.0
2014,"Andrews County","05000US48003",8046.0
2011,"Andrews County","05000US48003",9048.0
2013,"Andrews County","05000US48003",8131.0
2012,"Andrews County","05000US48003",9261.0
2010,"Angelina County","05000US48005",11581.0
2011,"Angelina County","05000US48005",11417.0
2012,"Angelina County","05000US48005",11561.0
2014,"Angelina County","05000US48005",10535.0
2013,"Angelina County","05000US48005",11200.0
2011,"Aransas County","05000US48007",10568.0
2013,"Aransas County","05000US48007",8958.0
2014,"Aransas County","05000US48007",9547.0
2012,"Aransas County","05000US48007",10358.0
2010,"Aransas County","05000US48007",10516.0
2014,"Archer County","05000US48009",11986.0
2010,"Archer County","05000US48009",10528.0
2012,"Archer County","05000US48009",10880.0
2013,"Archer County","05000US48009",10401.0
2011,"Archer County","05000US48009",10838.0
2012,"Armstrong County","05000US48011",7905.0
2011,"Armstrong County","05000US48011",9642.0
2014,"Armstrong County","05000US48011",9042.0
2013,"Armstrong County","05000US48011",7939.0
2010,"Armstrong County","05000US48011",9044.0
2011,"Atascosa County","05000US48013",11859.0
2013,"Atascosa County","05000US48013",11072.0
2010,"Atascosa County","05000US48013",11216.0
2014,"Atascosa County","05000US48013",11287.0
2012,"Atascosa County","05000US48013",10924.0
2011,"Austin County","05000US48015",9131.0
2014,"Austin County","05000US48015",8625.0
2012,"Austin County","05000US48015",8786.0
2010,"Austin County","05000US48015",8693.0
2013,"Austin County","05000US48015",9050.0
2011,"Bailey County","05000US48017",10398.0
2012,"Bailey County","05000US48017",11369.0
2010,"Bailey County","05000US48017",10068.0
2014,"Bailey County","05000US48017",10760.0
2013,"Bailey County","05000US48017",10826.0
2014,"Bandera County","05000US48019",8618.0
2012,"Bandera County","05000US48019",9299.0
2011,"Bandera County","05000US48019",9409.0
2013,"Bandera County","05000US48019",9599.0
2010,"Bandera County","05000US48019",8835.0
2011,"Bastrop County","05000US48021",10249.0
2010,"Bastrop County","05000US48021",10428.0
2014,"Bastrop County","05000US48021",10339.0
2012,"Bastrop County","05000US48021",10350.0
2013,"Bastrop County","05000US48021",10617.0
2013,"Baylor County","05000US48023",11613.0
2014,"Baylor County","05000US48023",11604.0
