Country-years:
   United States of America (2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999)
Cause groups:
  A:X60-X84,Y10-Y34,Y87
Sex: All sexes
Data source: WHO mortality database
Date: Thu Mar 21 5:58:06 CET 2019
Country,Year,ICD rev and list,Cause group,Sex,Format,All ages
United States of America,2015,104,A,M,00,37248
United States of America,2015,104,A,F,00,12123
United States of America,2014,104,A,M,00,36156
United States of America,2014,104,A,F,00,11456
United States of America,2013,104,A,M,00,34971
United States of America,2013,104,A,F,00,11020
United States of America,2012,104,A,M,00,34891
United States of America,2012,104,A,F,00,10691
United States of America,2011,104,A,M,00,34110
United States of America,2011,104,A,F,00,10409
United States of America,2010,104,A,M,00,33434
United States of America,2010,104,A,F,00,10105
United States of America,2009,104,A,M,00,32370
United States of America,2009,104,A,F,00,9804
United States of America,2008,104,A,M,00,31804
United States of America,2008,104,A,F,00,9526
United States of America,2007,104,A,M,00,30819
United States of America,2007,104,A,F,00,9397
United States of America,2006,104,A,M,00,29759
United States of America,2006,104,A,F,00,8926
United States of America,2005,104,A,M,00,28969
United States of America,2005,104,A,F,00,8644
United States of America,2004,104,A,M,00,28890
United States of America,2004,104,A,F,00,8717
United States of America,2003,104,A,M,00,28679
United States of America,2003,104,A,F,00,8095
United States of America,2002,104,A,M,00,28677
United States of America,2002,104,A,F,00,7997
United States of America,2001,104,A,M,00,27667
United States of America,2001,104,A,F,00,7355
United States of America,2000,104,A,M,00,26391
United States of America,2000,104,A,F,00,6945
United States of America,1999,104,A,M,00,26255
United States of America,1999,104,A,F,00,6989
