agegrp,crudeNumber,crudeRate,ageAdjustedRate,appliedFilters
0 to 4,"3,259",16.4,16.4,"Start Year: 2013, End Year: 2013, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
5 to 9,897,4.4,4.4,"Start Year: 2013, End Year: 2013, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
10 to 14,"1,345",6.5,6.5,"Start Year: 2013, End Year: 2013, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
15 to 19,"6,937",32.7,32.7,"Start Year: 2013, End Year: 2013, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
20 to 24,"14,383",63.0,63.0,"Start Year: 2013, End Year: 2013, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
25 to 29,"14,098",65.3,65.3,"Start Year: 2013, End Year: 2013, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
30 to 34,"13,641",64.1,64.1,"Start Year: 2013, End Year: 2013, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
35 to 39,"12,135",61.8,61.8,"Start Year: 2013, End Year: 2013, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
40 to 44,"13,331",63.9,63.9,"Start Year: 2013, End Year: 2013, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
45 to 49,"15,086",71.1,71.1,"Start Year: 2013, End Year: 2013, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
50 to 54,"17,050",75.5,75.5,"Start Year: 2013, End Year: 2013, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
55 to 59,"15,242",71.9,71.9,"Start Year: 2013, End Year: 2013, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
60 to 64,"10,972",60.5,60.5,"Start Year: 2013, End Year: 2013, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
65 to 69,"8,381",57.4,57.4,"Start Year: 2013, End Year: 2013, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
70 to 74,"7,131",67.2,67.2,"Start Year: 2013, End Year: 2013, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
75 to 79,"7,570",98.5,98.5,"Start Year: 2013, End Year: 2013, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
80 to 84,"9,578",166.2,166.2,"Start Year: 2013, End Year: 2013, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
85 and up,"21,864",363.5,363.5,"Start Year: 2013, End Year: 2013, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Unknown,45,0.0,0.0,"Start Year: 2013, End Year: 2013, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
