stateName,2001suic,2001pop,2004suic,2004pop,2005suic,2005pop,2006suic,2006pop,2007suic,2006pop,2008suic,2008pop,2009suic,2009pop,2010suic,2010pop,2011suic,2011pop,2012suic,2012pop,2013suic,2013pop,2014suic,2014pop,2017suic,2017pop
Alabama,71.1,8947723,74,4530729,74.7,4569805,78.1,4628981,78.4,4672840,77.3,4718206,73.2,4757938,73,4780135,77.1,4798649,71.1,4813946,72.1,4827660,73.3,4840037,84.9,4874747
Alaska,86.8,1276051,87.6,659286,78.9,666946,80.5,675302,89.1,680300,89.3,687455,80.9,698895,90,710249,84.3,722259,85,730825,81.8,736760,85.8,736759,106,739795
Arizona,75,10669732,76.4,5652404,82.9,5839077,83.7,6029141,79.2,6167681,72.3,6280362,70.4,6343154,73.2,6392309,73.4,6465488,72,6544211,75.1,6616124,73,6706435,83.2,7016270
Arkansas,72,5397498,75.9,2749686,74.7,2781097,76.7,2821761,76.7,2848650,78.3,2874554,76.8,2896843,74.8,2916031,75.8,2938640,77.8,2949208,72.4,2956780,75.3,2964800,85.3,3004279
California,43.7,69351301,48.2,35574576,48.8,35827943,49.4,36021202,49.6,36250311,46.8,36604337,46.2,36961229,44.2,37254518,44.6,37672654,44.1,38019006,44.9,38347383,45.1,38701278,49.3,39536653
Colorado,64.9,8916093,65.9,4575013,67.4,4631888,64.4,4720423,67.3,4803868,68.9,4889730,68.8,4972195,65.4,5029325,69.6,5116411,72.4,5186330,70.4,5262556,72.5,5342311,79.6,5607154
Connecticut,43.9,6891584,46.2,3496094,42.4,3506956,47,3517460,46.8,3527270,48.7,3545579,45.6,3561807,47.8,3574114,47.6,3591927,49.5,3597705,51.5,3602470,53.7,3600188,67.5,3588184
Delaware,54.1,1601868,52.3,830803,51.7,845150,56.8,859268,53.3,871749,60.7,883874,56.1,891730,59.3,897936,54.8,907884,61.7,916868,63.4,925114,65.8,934805,82.5,961939
District of Columbia,77.3,1147662,75,567754,74.2,567136,70.9,570681,67.6,574404,63.9,580236,51.2,592228,63.3,601766,54.5,620336,51.6,635630,54.1,650114,55.9,660797,86.2,693972
Florida,61.7,33046336,64.6,17415318,66.2,17842038,66.7,18166990,68.3,18367842,67.5,18527305,65.2,18652644,63.8,18804594,63,19097369,61.4,19341327,59.5,19584927,61.5,19897747,77.1,20984400
Georgia,63.2,16885294,64.6,8769252,63.8,8925922,63.8,9155813,65.4,9349988,61,9504843,61.7,9620846,60,9688690,59.1,9810595,58,9911171,57.4,9981773,60.1,10083850,67.7,10429379
Hawaii,46.3,2465561,44.3,1273569,47.1,1292729,48.3,1309731,49.4,1315675,43.7,1332213,48.1,1346717,50.3,1360301,52.2,1378323,48.2,1392772,45.5,1408038,47.1,1417710,55.5,1427538
Idaho,66.3,2660334,65.7,1391802,65.3,1428241,68.1,1468669,63.5,1505105,64.2,1534320,68.2,1554439,64.7,1567650,67.8,1583180,68.3,1594673,71.6,1610187,71.6,1630391,78.1,1716943
Illinois,51.8,25014001,48.5,12589773,48.9,12609903,50.1,12643955,49.8,12695866,49.8,12747038,47.6,12796778,46.5,12831565,48.2,12862298,50.8,12878494,50.7,12890403,52,12882438,65.7,12802023
Indiana,55.8,12283727,58.6,6233007,60.1,6278616,61.4,6332669,60.4,6379599,61.4,6424806,59.5,6459325,59,6484125,61.5,6515358,63.5,6535665,66,6567484,66.5,6593182,84.8,6666818
Iowa,46.2,5866231,48,2953635,50.2,2964454,50.5,2982644,50.9,2999212,54.7,3016734,51.4,3032870,52.1,3046869,56.8,3063690,55.3,3074386,57.2,3089876,58.5,3105563,62.7,3145711
Kansas,58.7,5415697,59.8,2734373,58.9,2745299,61.4,2762931,61.4,2783785,57.1,2808076,62.5,2832704,63.9,2853130,64.3,2868756,66.2,2885316,64.8,2892900,65.4,2899553,75.9,2913123
Kentucky,68.8,8158007,74.4,4146101,77.6,4182742,79.2,4219239,77.8,4256672,77.2,4289878,76.2,4317074,81.7,4339340,81.2,4368505,86,4383673,77.8,4399121,80.8,4410415,99.6,4454189
Louisiana,72.6,8975142,78.6,4552238,94.8,4576628,83.3,4302665,86.5,4375581,81.1,4435586,74.1,4491648,70.9,4533478,71.6,4574388,77.1,4602681,77,4626795,77.6,4648797,90.9,4684333
Maine,51.2,2581652,50.7,1313688,56.6,1318787,54.2,1323619,58.4,1327040,59.7,1330509,57.6,1329590,52.4,1328362,58.2,1327968,58.7,1328101,63.3,1327975,65,1328903,90.6,1335907
Maryland,55.9,10815080,55.7,5546935,54.5,5592379,57.7,5627367,59,5653408,55.1,5684965,53,5730388,50.1,5773807,51.8,5843115,54.3,5891680,54.2,5932654,56.2,5970245,82.6,6052177
Massachusetts,40.6,12814840,37.8,6412281,39.4,6403290,42.9,6410084,43.2,6431559,40.2,6468967,41,6517613,41.8,6547808,43.3,6612178,41.2,6659627,43.8,6711138,47.3,6757925,64.1,6859819
