name1,name2,city,state,zip,latitude,longitude
Sheltering Harbour,,Spring,TX,77379,30.031183399999996,-95.4898858
Cypress Creek Hospital,,Houston,TX,77090,30.024661,-95.44485
Intracare North Hospital,,Houston,TX,77090,30.023827,-95.440085
Tomball Regional Medical Center,Senior Care Behavioral Health,Tomball,TX,77375,30.0874048,-95.62361729999999
Unity Childrens Home,Trickey Road Location,Houston,TX,77067,29.956039,-95.4453906
Lone Star Behavioral Health Cypress,,Cypress,TX,77429,30.022357,-95.662803
New Dimensions Day Treatment Centers,,Spring,TX,77380,30.1322173,-95.4524863
Houston Wee Care Shelter Inc,,Spring,TX,77386,30.110507000000002,-95.420277
Woodlands District Office,,Spring,TX,77380,30.171671999999997,-95.4629521
Center for Success and Independence,,Houston,TX,77018,29.841778,-95.438638
Houston Behavioral Healthcare Hospital,,Houston,TX,77080,29.823757099999998,-95.54624390000001
MH/MR Authority of Harris County,Northwest Clinic,Houston,TX,77092,29.808884999999997,-95.446528
Post Oak Care Center,,Houston,TX,77043,29.7897111,-95.5703015
Family Services of Greater Houston,,Houston,TX,77007,29.7693083,-95.40757679999999
Tri County Behavioral Healthcare,,Conroe,TX,77304,30.309966999999997,-95.46404079999999
DePelchin Childrens Center,Main Campus,Houston,TX,77007,29.763446000000002,-95.41096
Aspire Hospital LLC,,Conroe,TX,77304,30.3315,-95.486249
Saint Joseph Medical Center,Center for BH at Saint Joseph MC,Houston,TX,77002,29.7478083,-95.36674190000001
Harris Center for Mental Health and ,IDD/Bristow Center/PATH,Houston,TX,77004,29.742879,-95.3717748
New Dimensions Day Treatment Centers,Katy,Katy,TX,77450,29.773069300000003,-95.74672690000001
West Oaks Hospital,,Houston,TX,77074,29.7093455,-95.498019
Behavioral Hospital of Bellaire,,Houston,TX,77081,29.708369899999997,-95.4736033
Ben Taub Hospital,Behavioral Health,Houston,TX,77030,29.711451,-95.3941429
Lutheran Soc Servs of the South Inc,Krause Childrens Center,Katy,TX,77494,29.773377000000004,-95.790818
UT Health Harris Cnty Psychiatric Ctr,,Houston,TX,77021,29.712063399999995,-95.3744077
Jewish Family Service,,Houston,TX,77025,29.688036600000004,-95.44404709999999
Harris Center for Mental Health and,IDD,Houston,TX,77074,29.67845,-95.5383613
