    name1,name2,street1,street2,city,state,zip,zip4,county,phone,intake_prompt,intake1,intake2,website,latitude,longitude,type_facility,last_update 
Sheltering Harbour,,17803 West Strack Drive,,Spring,TX,77379,,Harris,281-379-4578,,,,http://shelteringharbour.org,30.0311834,-95.4898858,MH,2018-11-07 13:21:37.609
Cypress Creek Hospital,,17750 Cali Drive,,Houston,TX,77090,2705,Harris,281-586-7600,,,281-586-5953,http://www.cypresscreekhospital.com,30.024661,-95.44485,MH,2017-02-27 11:25:37
Intracare North Hospital,,1120 Cypress Station Drive,,Houston,TX,77090,,Harris,281-893-7200,,,,http://www.intracare.org,30.023827,-95.440085,MH,2017-02-27 11:25:37
Tomball Regional Medical Center,Senior Care Behavioral Health,605 Holderrieth Boulevard,,Tomball,TX,77375,,Harris,281-401-7264,,,,http://tomballregionalmedicalcenter.com/,30.0874048,-95.6236173,MH,2019-02-22 09:00:07.197
Unity Childrens Home,Trickey Road Location,11805 Trickey Road,,Houston,TX,77067,,Harris,281-537-6148,,,,http://www.unitychildrenshome.com,29.956039,-95.4453906,MH,2018-11-07 13:22:48.568
Lone Star Behavioral Health Cypress,,16303 Grant Road,,Cypress,TX,77429,,Harris,281-516-6200,,,,http://lonestarbehavioralhealth.com,30.022357,-95.662803,MH,2017-02-27 11:25:37
New Dimensions Day Treatment Centers,,25511 Budde Road,Suite 2401,Spring,TX,77380,,Montgomery,800-685-9796 x1309,,800-685-9796,,http://www.nddtreatment.com,30.1322173,-95.4524863,MH,2018-10-01 13:33:14.709
Houston Wee Care Shelter Inc,,28915 South Plum Creek Drive,,Spring,TX,77386,,Montgomery,281-363-4020,,,,http://wecaretreatmentcenter.com/,30.110507,-95.420277,MH,2017-02-27 11:25:37
Woodlands District Office,,1600 Lake Front Circle,Suite 200,Spring,TX,77380,,Montgomery,713-861-4849,,,,http://www.familyhouston.org,30.171672,-95.4629521,MH,2018-01-26 15:28:19.833
Center for Success and Independence,,3722 Pinemont Drive,,Houston,TX,77018,,Harris,713-426-4545,,713-426-4545 x105,,http://www.tcsi.org,29.841778,-95.438638,MH,2017-02-27 11:25:37
Houston Behavioral Healthcare Hospital,,2801 Gessner Road,,Houston,TX,77080,2503,Harris,877-489-4707,,832-834-7760,,http://houstonbehavioralhealth.com,29.8237571,-95.5462439,MH,2018-09-04 13:27:03.091
MH/MR Authority of Harris County,Northwest Clinic,3737 Dacoma Street,,Houston,TX,77092,,Harris,713-970-8400,Intakes,713-970-7000,,http://www.mhmraharris.org,29.808885,-95.446528,MH,2017-02-27 11:25:37
Post Oak Care Center,,1147 Brittmoore Road,Suite 4,Houston,TX,77043,5039,Harris,713-960-0344,,,,http://www.postoakscarecenter.com,29.7897111,-95.5703015,MH,2018-11-07 14:43:29.422
Family Services of Greater Houston,,4625 Lillian Street,,Houston,TX,77007,,Harris,713-861-4849,,,,http://www.familyhouston.org,29.7693083,-95.4075768,MH,2019-03-04 17:40:05.481
Tri County Behavioral Healthcare,,706 Old Montgomery Road,,Conroe,TX,77304,,Montgomery,936-521-6100,,800-550-8408,,http://www.tcbhc.org,30.309967,-95.4640408,MH,2018-09-04 13:25:29.276
DePelchin Childrens Center,Main Campus,4950 Memorial Drive,,Houston,TX,77007,,Harris,713-730-2335,,,,http://www.depelchin.org/,29.763446,-95.41096,MH,2017-02-27 11:25:37
Aspire Hospital LLC,,2006 South Loop 336 West,Suite 500,Conroe,TX,77304,,Montgomery,936-647-3500,,,936-200-6201,http://www.aspirehealthcorp.com,30.3315,-95.486249,MH,2017-02-27 11:25:37
Saint Joseph Medical Center,Center for BH at Saint Joseph MC,1404 Saint Joseph Parkway,,Houston,TX,77002,,Harris,713-757-7512,,,713-757-1000,http://www.sjmctx.org,29.7478083,-95.3667419,MH,2019-03-04 17:40:10.249
Harris Center for Mental Health and ,IDD/Bristow Center/PATH,2627 Caroline Street,,Houston,TX,77004,,Harris,713-970-7413,,,,http://,29.742879,-95.3717748,MH,2017-04-05 12:38:59
New Dimensions Day Treatment Centers,Katy,607 Park Grove Drive,Suite A,Katy,TX,77450,,Harris,800-685-9796,,,,http://www.nddtreatment.com,29.7730693,-95.7467269,MH,2018-10-01 13:34:38.399
West Oaks Hospital,,6500 Hornwood Drive,,Houston,TX,77074,,Harris,713-995-0909,Intakes,713-995-0909 x5250,713-778-5250,http://westoakshospital.com,29.7093455,-95.498019,MH,2019-03-04 17:39:24.185
Behavioral Hospital of Bellaire,,5314 Dashwood Drive,Suite 300,Houston,TX,77081,,Harris,713-600-9500,,,,http://bhbhospital.com/,29.7083699,-95.4736033,MH,2019-03-04 17:40:32.141
Ben Taub Hospital,Behavioral Health,1502 Taub Loop,"NPC Building, Room 2 125",Houston,TX,77030,,Harris,713-873-5130,,,,http://www.harrishealth.org/,29.711451,-95.3941429,MH,2019-02-22 09:10:16.013
Lutheran Soc Servs of the South Inc,Krause Childrens Center,25752 Kingsland Boulevard,,Katy,TX,77494,6325,Fort Bend,281-392-7505,,,,http://www.upbring.org,29.773377,-95.790818,MH,2017-02-27 11:25:37
UT Health Harris Cnty Psychiatric Ctr,,2800 South MacGregor Way,,Houston,TX,77021,,Harris,713-741-5000,,713-741-3883,,http://hcpc.uth.edu/,29.7120634,-95.3744077,MH,2019-03-04 17:39:27.492
Jewish Family Service,,4131 South Braeswood Boulevard,,Houston,TX,77025,,Harris,713-667-9336,,,,http://www.jfshouston.org,29.6880366,-95.4440471,MH,2017-02-27 11:25:37
Harris Center for Mental Health and,IDD,9401 SW Freeway,Adult Clinic,Houston,TX,77074,,Harris,713-970-7000,,,713-970-3800,http://mhmraharris.org,29.67845,-95.5383613,MH,2018-06-12 13:47:15.061
Michael E DeBakey VAMC,Mental Healthcare Line (116A),2002 Holcombe Boulevard,,Houston,TX,77030,,Harris,713-791-1414 x28907,Intakes,713-791-1414 x27561,800-639-5137 x27561,http://www.mentalhealth.va.gov,29.7001034,-95.3889654,MH,2019-02-07 13:50:33.514
