State,State Code,Ten-Year Age Groups,Ten-Year Age Groups Code,Gender,Gender Code,Deaths,Population,Crude Rate
Alabama,1,5-14 years,5-14,Female,F,28,5800973,0.5
Alabama,1,5-14 years,5-14,Male,M,71,6065966,1.2
Alabama,1,15-24 years,15-24,Female,F,185,6214696,3
Alabama,1,15-24 years,15-24,Male,M,1257,6327206,19.9
Alabama,1,25-34 years,25-34,Female,F,330,5846272,5.6
Alabama,1,25-34 years,25-34,Male,M,1589,5678498,28
Alabama,1,35-44 years,35-44,Female,F,519,6158050,8.4
Alabama,1,35-44 years,35-44,Male,M,1696,5882549,28.8
Alabama,1,45-54 years,45-54,Female,F,547,6385531,8.6
Alabama,1,45-54 years,45-54,Male,M,1802,6037822,29.8
Alabama,1,55-64 years,55-64,Female,F,411,5414228,7.6
Alabama,1,55-64 years,55-64,Male,M,1447,4935101,29.3
Alabama,1,65-74 years,65-74,Female,F,191,3832617,5
Alabama,1,65-74 years,65-74,Male,M,958,3207791,29.9
Alabama,1,75-84 years,75-84,Female,F,104,2418788,4.3
Alabama,1,75-84 years,75-84,Male,M,679,1609834,42.2
Alabama,1,85+ years,85+,Female,F,21,990988,2.1
Alabama,1,85+ years,85+,Male,M,232,420645,55.2
Alaska,2,5-14 years,5-14,Female,F,11,956801,Unreliable
Alaska,2,5-14 years,5-14,Male,M,27,1009699,2.7
Alaska,2,15-24 years,15-24,Female,F,143,911855,15.7
Alaska,2,15-24 years,15-24,Male,M,597,1074644,55.6
Alaska,2,25-34 years,25-34,Female,F,109,907303,12
Alaska,2,25-34 years,25-34,Male,M,493,998923,49.4
Alaska,2,35-44 years,35-44,Female,F,112,907065,12.3
Alaska,2,35-44 years,35-44,Male,M,384,965241,39.8
Alaska,2,45-54 years,45-54,Female,F,130,938891,13.8
Alaska,2,45-54 years,45-54,Male,M,372,1026308,36.2
Alaska,2,55-64 years,55-64,Female,F,72,668087,10.8
Alaska,2,55-64 years,55-64,Male,M,224,747104,30
Alaska,2,65-74 years,65-74,Female,F,16,317573,Unreliable
Alaska,2,65-74 years,65-74,Male,M,97,337087,28.8
Alaska,2,75-84 years,75-84,Male,M,56,125675,44.6
Alaska,2,85+ years,85+,Male,M,25,29543,84.6
Arizona,4,5-14 years,5-14,Female,F,58,7984123,0.7
Arizona,4,5-14 years,5-14,Male,M,117,8335845,1.4
Arizona,4,15-24 years,15-24,Female,F,462,7909497,5.8
Arizona,4,15-24 years,15-24,Male,M,2082,8516772,24.4
Arizona,4,25-34 years,25-34,Female,F,637,7729821,8.2
Arizona,4,25-34 years,25-34,Male,M,2486,8228036,30.2
Arizona,4,35-44 years,35-44,Female,F,775,7652170,10.1
Arizona,4,35-44 years,35-44,Male,M,2489,7818065,31.8
Arizona,4,45-54 years,45-54,Female,F,984,7490474,13.1
Arizona,4,45-54 years,45-54,Male,M,2804,7266650,38.6
Arizona,4,55-64 years,55-64,Female,F,782,6555065,11.9
Arizona,4,55-64 years,55-64,Male,M,2071,5950292,34.8
Arizona,4,65-74 years,65-74,Female,F,367,4898287,7.5
Arizona,4,65-74 years,65-74,Male,M,1415,4396139,32.2
Arizona,4,75-84 years,75-84,Female,F,200,2948377,6.8
Arizona,4,75-84 years,75-84,Male,M,1230,2432601,50.6
Arizona,4,85+ years,85+,Female,F,76,1176118,6.5
Arizona,4,85+ years,85+,Male,M,509,687367,74.1
Arizona,4,Not Stated,NS,Male,M,10,Not Applicable,Not Applicable
Arkansas,5,5-14 years,5-14,Female,F,30,3599222,0.8
Arkansas,5,5-14 years,5-14,Male,M,48,3771181,1.3
Arkansas,5,15-24 years,15-24,Female,F,150,3698070,4.1
Arkansas,5,15-24 years,15-24,Male,M,907,3844753,23.6
Arkansas,5,25-34 years,25-34,Female,F,254,3505906,7.2
Arkansas,5,25-34 years,25-34,Male,M,1165,3528965,33
Arkansas,5,35-44 years,35-44,Female,F,399,3596684,11.1
Arkansas,5,35-44 years,35-44,Male,M,1207,3551680,34
Arkansas,5,45-54 years,45-54,Female,F,414,3692822,11.2
Arkansas,5,45-54 years,45-54,Male,M,1212,3571724,33.9
Arkansas,5,55-64 years,55-64,Female,F,294,3224037,9.1
Arkansas,5,55-64 years,55-64,Male,M,881,2990964,29.5
Arkansas,5,65-74 years,65-74,Female,F,118,2352921,5
Arkansas,5,65-74 years,65-74,Male,M,611,2045080,29.9
Arkansas,5,75-84 years,75-84,Female,F,53,1497496,3.5
Arkansas,5,75-84 years,75-84,Male,M,471,1070732,44
Arkansas,5,85+ years,85+,Female,F,19,656247,Unreliable
Arkansas,5,85+ years,85+,Male,M,167,305330,54.7
California,6,5-14 years,5-14,Female,F,147,47900391,0.3
California,6,5-14 years,5-14,Male,M,284,50133402,0.6
California,6,15-24 years,15-24,Female,F,1522,48870169,3.1
California,6,15-24 years,15-24,Male,M,6163,52583410,11.7
California,6,25-34 years,25-34,Female,F,2021,50066081,4
California,6,25-34 years,25-34,Male,M,8154,52646057,15.5
California,6,35-44 years,35-44,Female,F,2799,50121819,5.6
California,6,35-44 years,35-44,Male,M,8949,50895350,17.6
California,6,45-54 years,45-54,Female,F,3765,47600929,7.9
California,6,45-54 years,45-54,Male,M,10583,46840070,22.6
California,6,55-64 years,55-64,Female,F,2788,36577475,7.6
California,6,55-64 years,55-64,Male,M,8362,34164125,24.5
California,6,65-74 years,65-74,Female,F,1302,23577678,5.5
California,6,65-74 years,65-74,Male,M,4759,20220946,23.5
California,6,75-84 years,75-84,Female,F,859,15262326,5.6
California,6,75-84 years,75-84,Male,M,4226,11166249,37.8
California,6,85+ years,85+,Female,F,446,7031316,6.3
California,6,85+ years,85+,Male,M,2074,3721634,55.7
California,6,Not Stated,NS,Male,M,21,Not Applicable,Not Applicable
Colorado,8,5-14 years,5-14,Female,F,58,6152475,0.9
Colorado,8,5-14 years,5-14,Male,M,141,6450185,2.2
Colorado,8,15-24 years,15-24,Female,F,466,6212809,7.5
Colorado,8,15-24 years,15-24,Male,M,1787,6772124,26.4
Colorado,8,25-34 years,25-34,Female,F,549,6641347,8.3
Colorado,8,25-34 years,25-34,Male,M,2212,7167877,30.9
Colorado,8,35-44 years,35-44,Female,F,724,6700485,10.8
Colorado,8,35-44 years,35-44,Male,M,2411,6967997,34.6
Colorado,8,45-54 years,45-54,Female,F,928,6650604,14
Colorado,8,45-54 years,45-54,Male,M,2641,6639949,39.8
Colorado,8,55-64 years,55-64,Female,F,595,5167608,11.5
Colorado,8,55-64 years,55-64,Male,M,1823,4994831,36.5
Colorado,8,65-74 years,65-74,Female,F,235,3101249,7.6
Colorado,8,65-74 years,65-74,Male,M,906,2806946,32.3
Colorado,8,75-84 years,75-84,Female,F,123,1831091,6.7
Colorado,8,75-84 years,75-84,Male,M,637,1363316,46.7
Colorado,8,85+ years,85+,Female,F,45,837981,5.4
Colorado,8,85+ years,85+,Male,M,308,411187,74.9
Connecticut,9,5-14 years,5-14,Female,F,23,4305172,0.5
Connecticut,9,5-14 years,5-14,Male,M,21,4508049,0.5
Connecticut,9,15-24 years,15-24,Female,F,136,4274490,3.2
Connecticut,9,15-24 years,15-24,Male,M,531,4521245,11.7
Connecticut,9,25-34 years,25-34,Female,F,169,4085859,4.1
Connecticut,9,25-34 years,25-34,Male,M,633,4071707,15.5
Connecticut,9,35-44 years,35-44,Female,F,266,4931287,5.4
Connecticut,9,35-44 years,35-44,Male,M,865,4716997,18.3
Connecticut,9,45-54 years,45-54,Female,F,365,5217065,7
Connecticut,9,45-54 years,45-54,Male,M,1138,4960608,22.9
Connecticut,9,55-64 years,55-64,Female,F,254,4086941,6.2
Connecticut,9,55-64 years,55-64,Male,M,793,3795436,20.9
Connecticut,9,65-74 years,65-74,Female,F,96,2659672,3.6
Connecticut,9,65-74 years,65-74,Male,M,355,2252997,15.8
Connecticut,9,75-84 years,75-84,Female,F,70,1919308,3.6
Connecticut,9,75-84 years,75-84,Male,M,281,1315813,21.4
Connecticut,9,85+ years,85+,Female,F,41,1040635,3.9
Connecticut,9,85+ years,85+,Male,M,113,471888,23.9
Delaware,10,15-24 years,15-24,Female,F,38,1135222,3.3
Delaware,10,15-24 years,15-24,Male,M,195,1150774,16.9
Delaware,10,25-34 years,25-34,Female,F,63,1089133,5.8
Delaware,10,25-34 years,25-34,Male,M,231,1066419,21.7
Delaware,10,35-44 years,35-44,Female,F,69,1160023,5.9
Delaware,10,35-44 years,35-44,Male,M,291,1106228,26.3
Delaware,10,45-54 years,45-54,Female,F,104,1210388,8.6
Delaware,10,45-54 years,45-54,Male,M,372,1126820,33
Delaware,10,55-64 years,55-64,Female,F,68,1033622,6.6
Delaware,10,55-64 years,55-64,Male,M,220,920243,23.9
Delaware,10,65-74 years,65-74,Female,F,28,738694,3.8
Delaware,10,65-74 years,65-74,Male,M,109,638259,17.1
Delaware,10,75-84 years,75-84,Female,F,20,444924,4.5
