Sourcebook of Criminal Justice Statistics Online,,,,,,,,,,,,,,,,,,,
http://www.albany.edu/sourcebook/csv/t3137.csv,,,,,,,,,,,,,,,,,,,

Table 3.137,,,,,,,,,,,,,,,,,,,

"Suicide rate (per 100,000 persons in each age group)",,,,,,,,,,,,,,,,,,,

"By age, sex, and race, United States, 2002",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Race and sex,,,,,,,,,

,,Sex,,,Race,,,,,White,,,Black,,,,Other,,

Age,Total,Male,Female,,White,Black,,Other,,Male,Female,,Male,,Female,,Male,,Female



10 to 14 years,1.23 ,1.81 ,0.62 ,,1.29 ,0.97 ,,1.26 ,\a\,1.87 ,0.68 ,,1.57 ,,0.35 ,\a\,1.81 ,\a\,0.69 ,\a\,0.69 ,\a\
15 to 19 years,7.44 ,12.23 ,2.36 ,,8.17 ,4.04 ,,6.54 ,,13.44 ,2.57 ,,6.89 ,,1.09 ,\a\,9.95 ,,2.96 ,\a\,2.96 ,\a\
20 to 24 years,12.28 ,20.63 ,3.49 ,,13.10 ,9.06 ,,9.67 ,,21.86 ,3.72 ,,16.00 ,,2.28 ,,15.68 ,,3.48 ,,3.48 ,
25 to 29 years,12.82 ,20.84 ,4.52 ,,13.59 ,10.34 ,,9.29 ,,21.56 ,5.13 ,,19.47 ,,1.96 ,,15.36 ,,3.29 ,,3.29 ,
30 to 34 years,12.60 ,20.31 ,4.76 ,,13.75 ,8.27 ,,7.88 ,,21.81 ,5.34 ,,15.19 ,,2.04 ,,12.10 ,,3.78 ,,3.78 ,
35 to 39 years,14.40 ,22.78 ,6.03 ,,15.92 ,8.14 ,,7.99 ,,24.81 ,6.84 ,,14.49 ,,2.49 ,,12.50 ,,3.66 ,,3.66 ,
40 to 44 years,16.17 ,24.76 ,7.70 ,,18.20 ,7.14 ,,6.62 ,,27.66 ,8.68 ,,11.55 ,,3.25 ,,9.28 ,,4.15 ,,4.15 ,
45 to 49 years,16.33 ,24.89 ,8.02 ,,18.45 ,5.89 ,,6.92 ,,27.65 ,9.31 ,,10.99 ,,1.47 ,\a\,10.35 ,,3.86 ,,3.86 ,
50 to 54 years,15.11 ,23.84 ,6.75 ,,16.80 ,5.87 ,,7.54 ,,26.43 ,7.38 ,,9.25 ,,3.00 ,,10.10 ,,5.31 ,,5.31 ,
55 to 59 years,14.60 ,23.54 ,6.19 ,,16.12 ,4.64 ,,7.75 ,,25.71 ,6.94 ,,8.65 ,,1.35 ,\a\,12.45 ,,3.59 ,\a\,3.59 ,\a\
60 to 64 years,12.35 ,20.46 ,4.99 ,,13.59 ,5.05 ,,4.70 ,,22.50 ,5.35 ,,8.14 ,,2.64 ,\a\,5.81 ,\a\,3.71 ,\a\,3.71 ,\a\
65 to 69 years,12.49 ,21.95 ,4.32 ,,13.70 ,3.51 ,,8.54 ,,23.80 ,4.81 ,,7.74 ,,0.37 ,\a\,13.89 ,,4.12 ,\a\,4.12 ,\a\
70 to 74 years,14.54 ,27.87 ,3.88 ,,15.67 ,6.56 ,,5.78 ,\a\,30.10 ,3.91 ,,12.35 ,,2.68 ,\a\,5.26 ,\a\,6.16 ,\a\,6.16 ,\a\
75 to 79 years,16.56 ,34.26 ,4.06 ,,17.56 ,6.69 ,,12.77 ,,36.22 ,4.20 ,,13.84 ,,1.37 ,\a\,19.97 ,\a\,7.58 ,\a\,7.58 ,\a\
80 to 84 years,19.36 ,44.08 ,4.36 ,,20.87 ,3.67 ,\a\,10.18 ,\a\,47.29 ,4.71 ,,10.74 ,\a\,0.00 ,\a\,17.74 ,\a\,4.93 ,\a\,4.93 ,\a\
85 years and older,18.07 ,51.14 ,3.82 ,,19.20 ,5.95 ,\a\,12.57 ,\a\,54.46 ,3.98 ,,19.36 ,\a\,0.82 ,\a\,20.67 ,\a\,7.73 ,\a\,7.73 ,\a\

"Note: See Note, table 3.136."

\a\Rate based on 20 or fewer deaths.

"Source: U.S. Department of Health and Human Services, Centers for Disease Control and"
"Prevention, National Center for Injury Prevention and Control [Online]. Available:"
"http://webapp.cdc.gov/sasweb/ncipc/mortrate10.html [Dec. 8, 2004]."
