"Sourcebook of Criminal Justice Statistics Online",,,,,,,,,,,,,,,,,,,,
"http://www.albany.edu/sourcebook/csv/t31372005.csv",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Table 3.137.2005",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Suicide rate (per 100,000 persons in each age group)",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"By age, sex, and race, United States, 2005",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"Race and sex",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,"      Sex",,,,"               Race",,,,"                  White",,,"                       Black",,,,"                     Other",,,
,,,,,,,,,,,,,,,,,,,,
"Age","Total","Male","Female",,"White","Black",,"Other",,"Male","Female",,"Male",,"Female",,"Male",,"Female",
,,,,,,,,,,,,,,,,,,,,
"     Total",12.71,20.62,5.13,,14.11,6.1,,7.52,,22.79,5.7,,10.55,,2.15,,11.2,,4.05,
,,,,,,,,,,,,,,,,,,,,
"10 to 14 years",1.29,1.89,0.67,,1.29,1.15,,1.8,,1.92,0.62,,1.47,,"0.82","\a\","2.73","\a\","0.84","\a\"
"15 to 19 years",7.66,12.06,3.02,,8.33,4.36,,7.8,,13.24,3.13,,7.2,,1.43,,9.5,,6.01,
"20 to 24 years",12.35,20.22,3.96,,13.1,9.14,,10.5,,21.26,4.33,,16.19,,1.98,,16.45,,4.31,
"25 to 29 years",11.85,19.29,4.1,,12.54,8.82,,10.31,,20.32,4.24,,15.03,,2.99,,15.85,,4.82,
"30 to 34 years",13.01,20.61,5.25,,14.29,8.54,,7.95,,22.24,5.96,,15.02,,2.72,,13.07,,2.96,
"35 to 39 years",13.77,21.4,6.07,,15.43,7.18,,7.34,,23.73,6.83,,12.09,,2.8,,10.81,,4,
"40 to 44 years",16,24.67,7.42,,17.96,7.5,,7.69,,27.34,8.48,,13.04,,2.63,,11.34,,4.23,
"45 to 49 years",16.74,25.45,8.24,,18.94,6.1,,7.82,,28.51,9.41,,10.16,,2.56,,11.4,,4.57,
"50 to 54 years",16.13,24.96,7.68,,18.09,6.31,,6.9,,27.68,8.68,,10.35,,2.89,,10.94,,"3.34","\a\"
"55 to 59 years",14.27,22.42,6.6,,15.93,4.71,,6.17,,24.78,7.41,,7.97,,"2.02","\a\",9.56,,"3.21","\a\"
"60 to 64 years",13.33,21.97,5.45,,14.72,4.7,,5.48,,24.14,5.97,,8,,"2.13","\a\",7.82,,"3.2","\a\"
"65 to 69 years",11.82,20.6,4.16,,12.99,4.15,,6.26,,22.63,4.42,,6.89,,"2.11","\a\","8.86","\a\","4.03","\a\"
"70 to 74 years",13.46,25.37,3.8,,14.72,4.88,,5.95,,27.62,4.06,,10.43,,"1.08","\a\","7.19","\a\","5.01","\a\"
"75 to 79 years",15.41,31.85,3.47,,16.67,5.34,,"6.79","\a\",34.19,3.72,,12.51,,"1.07","\a\","11.89","\a\","3.21","\a\"
"80 to 84 years",18.74,41.43,4.65,,20.03,5.83,,"11.58","\a\",44.37,4.79,,"13.34","\a\","1.86","\a\","16.98","\a\","7.84","\a\"
"85 years and older",16.94,45.23,3.99,,17.93,"4.56","\a\",17.41,,48.46,3.93,,"14.02","\a\","0.75","\a\","19.68","\a\","16.08","\a\"
,,,,,,,,,,,,,,,,,,,,
"Note: See Note, table 3.136.2005.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"\a\Rate based on 20 or fewer deaths.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Source: U.S. Department of Health and Human Services, Centers for Disease Control and ",,,,,,,,,,,,,,,,,,,,
"Prevention, National Center for Injury Prevention and Control [Online]. Available: ",,,,,,,,,,,,,,,,,,,,
"http://webappa.cdc.gov/sasweb/ncipc/mortrate10_sy.html [Jan. 24, 2008].",,,,,,,,,,,,,,,,,,,,
